Repository Language,Active Repositories,Total Pushes,Pushes Per Repository,New Forks Per Repository,Opened Issues Per Repository,New Watchers Per Repository,Appeared In Year
JavaScript,323938,3461415,10.69,3.87,6.1,9.66,1995
Java,222852,2323315,10.43,3.48,6.67,6.24,1995
Python,164852,1654226,10.03,2.87,6.32,5.72,1991
CSS,164585,1810013,11,4.91,5.24,9.33,1996
PHP,138771,1391467,10.03,2.78,5.87,4.76,1995
Ruby,132848,1106259,8.33,2.86,5.17,5.92,1995
C++,86505,1013761,11.72,3.02,11.39,5.77,1983
C,73075,804339,11.01,3.21,6.24,6.2,1972
Shell,65670,592046,9.02,2.7,3.58,5.08,1977
C#,56062,558332,9.96,3.04,6.83,4.78,2000
Objective-C,36568,249427,6.82,3.9,4.84,11.2,1983
R,34268,163807,4.78,6.45,4.95,3.16,1993
VimL,22450,131261,5.85,3.32,3.86,8,1991
Go,22264,196130,8.81,3.68,6.22,12.81,2009
Perl,16188,124818,7.71,2.13,3.81,3.23,1987
CoffeeScript,14302,111910,7.82,3.36,5.25,7.76,2009
TeX,13329,156070,11.71,2.51,6.04,4.17,1978
Swift,11138,64575,5.8,4.34,3.98,16.56,2014
Scala,10853,116911,10.77,3.5,6.88,7.11,2003
Emacs Lisp,9978,72324,7.25,2.77,4.75,5.81,1985
Haskell,8789,75858,8.63,2.07,4.33,4.22,1990
Lua,8123,80183,9.87,2.62,6.51,3.56,1993
Clojure,6840,50208,7.34,2.94,4.86,7.05,2007
Matlab,6052,54533,9.01,2.01,6.19,2.48,1978
Arduino,5307,25115,4.73,1.99,2.46,2.32,2005
Makefile,5251,30492,5.81,2.67,4.32,3.03,1977
Groovy,5041,37849,7.51,2.35,5.16,4.17,2004
Puppet,4576,34578,7.56,2.15,2.86,2.1,2005
Rust,4383,50757,11.58,4.18,9.91,11.36,2010
PowerShell,3253,22419,6.89,2.87,4.57,5.26,2006
